model_id,display_name,feature_method,classifier,model_path,ngram_range,accuracy,precision,recall,f1
tfidf_bigram__svm,TF-IDF Bigram + SVM,TF-IDF Bigram,SVM,models/classical/tfidf_bigram__svm.joblib,"(1, 2)",0.7767229254571026,0.7778752404213144,0.7767229254571026,0.7771180252280784
count_bigram__logistic_regression,Count Bigram + Logistic Regression,Count Bigram,Logistic Regression,models/classical/count_bigram__logistic_regression.joblib,"(1, 2)",0.7710970464135021,0.7738784796769496,0.7710970464135021,0.7719889311686292
count_bigram__svm,Count Bigram + SVM,Count Bigram,SVM,models/classical/count_bigram__svm.joblib,"(1, 2)",0.769690576652602,0.7710477517649943,0.769690576652602,0.7700098857247919
tfidf_bigram__logistic_regression,TF-IDF Bigram + Logistic Regression,TF-IDF Bigram,Logistic Regression,models/classical/tfidf_bigram__logistic_regression.joblib,"(1, 2)",0.760196905766526,0.7624936068558827,0.760196905766526,0.7608389613927945
tfidf_unigram__svm,TF-IDF Unigram + SVM,TF-IDF Unigram,SVM,models/classical/tfidf_unigram__svm.joblib,"(1, 1)",0.760196905766526,0.76185942209555,0.760196905766526,0.7608107689718996
count_unigram__logistic_regression,Count Unigram + Logistic Regression,Count Unigram,Logistic Regression,models/classical/count_unigram__logistic_regression.joblib,"(1, 1)",0.759142053445851,0.761205675838118,0.759142053445851,0.7598891567805142
tfidf_unigram__logistic_regression,TF-IDF Unigram + Logistic Regression,TF-IDF Unigram,Logistic Regression,models/classical/tfidf_unigram__logistic_regression.joblib,"(1, 1)",0.7507032348804501,0.7530956181748186,0.7507032348804501,0.7515471196030415
count_unigram__svm,Count Unigram + SVM,Count Unigram,SVM,models/classical/count_unigram__svm.joblib,"(1, 1)",0.7485935302390999,0.7495721082933199,0.7485935302390999,0.7489184991172098
tfidf_bigram__naive_bayes,TF-IDF Bigram + Naive Bayes,TF-IDF Bigram,Naive Bayes,models/classical/tfidf_bigram__naive_bayes.joblib,"(1, 2)",0.7260900140646976,0.7264252805993251,0.7260900140646976,0.725274452262638
tfidf_unigram__naive_bayes,TF-IDF Unigram + Naive Bayes,TF-IDF Unigram,Naive Bayes,models/classical/tfidf_unigram__naive_bayes.joblib,"(1, 1)",0.7169479606188467,0.7172763153280478,0.7169479606188467,0.7164485508408008
count_bigram__naive_bayes,Count Bigram + Naive Bayes,Count Bigram,Naive Bayes,models/classical/count_bigram__naive_bayes.joblib,"(1, 2)",0.710618846694796,0.7105711379064881,0.710618846694796,0.7098747198871406
count_unigram__naive_bayes,Count Unigram + Naive Bayes,Count Unigram,Naive Bayes,models/classical/count_unigram__naive_bayes.joblib,"(1, 1)",0.6986638537271449,0.6989399534554643,0.6986638537271449,0.6981168564620174
